Região Política;Cidade e UF;Data Convênio;Data Denúncia
Centro-Oeste;Abadia de Goiás - GO;06/08/2013;
Centro-Oeste;Abadiânia - GO;07/01/2009;04/12/2020
Centro-Oeste;Abadiânia - GO;13/04/2021;
Centro-Oeste;Acorizal - MT;09/02/2009;03/12/2018
Centro-Oeste;Acreúna - GO;09/02/2009;23/12/2020
Centro-Oeste;Acreúna - GO;01/07/2021;
Centro-Oeste;Adelândia - GO;06/05/2016;03/12/2018
Centro-Oeste;Água Boa - MT;09/02/2009;
Centro-Oeste;Água Clara - MS;07/01/2009;
Centro-Oeste;Água Fria de Goiás - GO;12/06/2012;04/12/2020
Centro-Oeste;Água Limpa - GO;10/12/2009;03/12/2018
Centro-Oeste;Águas Lindas de Goiás - GO;09/02/2009;23/12/2020
Centro-Oeste;Alcinópolis - MS;04/12/2008;
Centro-Oeste;Alexânia - GO;06/08/2013;
Centro-Oeste;Alta Floresta - MT;07/07/2011;03/12/2018
Centro-Oeste;Alta Floresta - MT;28/05/2019;
Centro-Oeste;Alto Araguaia - MT;13/08/2009;03/12/2018
Centro-Oeste;Alto Araguaia - MT;03/05/2022;
Centro-Oeste;Alto Boa Vista - MT;04/08/2015;03/12/2018
Centro-Oeste;Alto Boa Vista - MT;27/09/2019;
Centro-Oeste;Alto Garças - MT;09/02/2009;03/12/2018
Centro-Oeste;Alto Garças - MT;28/05/2019;
Centro-Oeste;Alto Horizonte - GO;04/08/2015;04/12/2020
Centro-Oeste;Alto Horizonte - GO;29/03/2022;
Centro-Oeste;Alto Paraguai - MT;28/05/2019;
Centro-Oeste;Alto Paraíso de Goiás - GO;09/02/2009;03/12/2018
Centro-Oeste;Alto Paraíso de Goiás - GO;29/12/2022;
Centro-Oeste;Alto Taquari - MT;11/07/2013;03/12/2018
Centro-Oeste;Alto Taquari - MT;27/02/2020;
Centro-Oeste;Amambai - MS;04/12/2008;
Centro-Oeste;Amaralina - GO;02/09/2015;04/12/2020
Centro-Oeste;Amaralina - GO;05/11/2021;
Centro-Oeste;Amorinópolis - GO;05/09/2011;03/12/2018
Centro-Oeste;Amorinópolis - GO;25/04/2023;
Centro-Oeste;Anápolis - GO;09/02/2009;21/03/2019
Centro-Oeste;Anastácio - MS;04/12/2008;12/07/2023
Centro-Oeste;Anastácio - MS;09/08/2023;
Centro-Oeste;Anaurilândia - MS;09/02/2009;
Centro-Oeste;Angélica - MS;09/02/2009;
Centro-Oeste;Anicuns - GO;07/01/2009;04/12/2020
Centro-Oeste;Antônio João - MS;04/12/2008;03/12/2018
Centro-Oeste;Antônio João - MS;02/08/2019;
Centro-Oeste;Aparecida de Goiânia - GO;08/04/2010;03/12/2018
Centro-Oeste;Aparecida do Rio Doce - GO;09/02/2009;04/12/2020
Centro-Oeste;Aparecida do Rio Doce - GO;05/11/2021;
Centro-Oeste;Aparecida do Taboado - MS;04/12/2008;
Centro-Oeste;Apiacás - MT;09/02/2009;
Centro-Oeste;Aporé - GO;25/01/2010;
Centro-Oeste;Aquidauana - MS;04/12/2008;
Centro-Oeste;Aragarças - GO;09/02/2009;03/12/2018
Centro-Oeste;Aragoiânia - GO;14/05/2013;03/12/2018
Centro-Oeste;Aragoiânia - GO;27/09/2019;
Centro-Oeste;Araguaiana - MT;09/02/2009;
Centro-Oeste;Araguainha - MT;06/08/2013;03/12/2018
Centro-Oeste;Araguainha - MT;27/09/2019;
Centro-Oeste;Araguapaz - GO;05/09/2011;03/12/2018
Centro-Oeste;Aral Moreira - MS;09/02/2009;
Centro-Oeste;Araputanga - MT;09/02/2009;
Centro-Oeste;Arenápolis - MT;04/09/2009;03/12/2018
Centro-Oeste;Arenápolis - MT;27/02/2020;23/12/2020
Centro-Oeste;Arenápolis - MT;26/05/2022;
Centro-Oeste;Arenópolis - GO;28/05/2019;
Centro-Oeste;Aripuanã - MT;28/10/2014;
Centro-Oeste;Aruanã - GO;09/02/2009;
Centro-Oeste;Aurilândia - GO;05/03/2009;03/12/2018
Centro-Oeste;Baliza - GO;20/12/2010;03/12/2018
Centro-Oeste;Bandeirantes - MS;04/12/2008;
Centro-Oeste;Barão de Melgaço - MT;11/04/2011;04/12/2020
Centro-Oeste;Barra do Bugres - MT;10/12/2009;03/12/2018
Centro-Oeste;Barra do Bugres - MT;02/08/2019;
Centro-Oeste;Barra do Garças - MT;09/02/2009;
Centro-Oeste;Barro Alto - GO;11/03/2013;
Centro-Oeste;Bataguassu - MS;09/02/2009;
Centro-Oeste;Batayporã - MS;09/02/2009;
Centro-Oeste;Bela Vista - MS;09/02/2009;
Centro-Oeste;Bela Vista de Goiás - GO;10/12/2013;
Centro-Oeste;Bodoquena - MS;04/12/2008;
Centro-Oeste;Bom Jardim de Goiás - GO;09/02/2009;
Centro-Oeste;Bom Jesus de Goiás - GO;09/02/2009;
Centro-Oeste;Bom Jesus do Araguaia - MT;09/08/2011;04/12/2020
Centro-Oeste;Bom Jesus do Araguaia - MT;29/07/2021;
Centro-Oeste;Bonfinópolis - GO;05/03/2009;04/12/2020
Centro-Oeste;Bonfinópolis - GO;03/05/2021;
Centro-Oeste;Bonito - MS;04/12/2008;
Centro-Oeste;Bonópolis - GO;09/03/2010;23/12/2020
Centro-Oeste;Bonópolis - GO;09/11/2022;
Centro-Oeste;Brasilândia - MS;04/12/2008;
Centro-Oeste;Brasília - DF;13/09/2012;04/12/2020
Centro-Oeste;Brasnorte - MT;14/10/2010;
Centro-Oeste;Brazabrantes - GO;05/03/2009;
Centro-Oeste;Britânia - GO;10/12/2009;03/12/2018
Centro-Oeste;Britânia - GO;21/11/2019;
Centro-Oeste;Buriti Alegre - GO;09/02/2009;11/08/2023
Centro-Oeste;Buriti de Goiás - GO;26/05/2022;
Centro-Oeste;Caarapó - MS;04/12/2008;
Centro-Oeste;Cabeceiras - GO;09/02/2009;04/12/2020
Centro-Oeste;Cabeceiras - GO;07/07/2022;
Centro-Oeste;Cáceres - MT;14/10/2009;
Centro-Oeste;Cachoeira Alta - GO;04/09/2009;
Centro-Oeste;Cachoeira de Goiás - GO;09/02/2009;09/12/2015
Centro-Oeste;Cachoeira de Goiás - GO;30/11/2021;
Centro-Oeste;Cachoeira Dourada - GO;09/02/2009;03/12/2018
Centro-Oeste;Cachoeira Dourada - GO;02/08/2019;
Centro-Oeste;Caçu - GO;09/02/2009;
Centro-Oeste;Caiapônia - GO;09/02/2009;
Centro-Oeste;Caldas Novas - GO;09/02/2009;
Centro-Oeste;Caldazinha - GO;02/08/2019;
Centro-Oeste;Camapuã - MS;04/12/2008;
Centro-Oeste;Campestre de Goiás - GO;10/12/2009;03/12/2018
Centro-Oeste;Campestre de Goiás - GO;16/03/2023;
Centro-Oeste;Campinaçu - GO;04/08/2015;03/12/2018
Centro-Oeste;Campinápolis - MT;09/02/2009;
Centro-Oeste;Campinorte - GO;02/09/2015;03/12/2018
Centro-Oeste;Campinorte - GO;28/01/2020;
Centro-Oeste;Campo Alegre de Goiás - GO;09/02/2009;
Centro-Oeste;Campo Grande - MS;09/02/2009;
Centro-Oeste;Campo Limpo de Goiás - GO;29/01/2021;
Centro-Oeste;Campo Novo do Parecis - MT;09/02/2009;
Centro-Oeste;Campo Verde - MT;09/02/2009;
Centro-Oeste;Campos Belos - GO;09/02/2009;03/12/2018
Centro-Oeste;Campos de Júlio - MT;09/02/2009;
Centro-Oeste;Campos Verdes - GO;09/02/2009;
Centro-Oeste;Canabrava do Norte - MT;14/10/2009;03/12/2018
Centro-Oeste;Canabrava do Norte - MT;27/09/2019;
Centro-Oeste;Canarana - MT;09/02/2009;
Centro-Oeste;Caracol - MS;04/12/2008;
Centro-Oeste;Carlinda - MT;07/06/2011;
Centro-Oeste;Carmo do Rio Verde - GO;09/02/2009;03/12/2018
Centro-Oeste;Carmo do Rio Verde - GO;25/04/2023;
Centro-Oeste;Cassilândia - MS;05/03/2009;
Centro-Oeste;Castanheira - MT;06/08/2013;
Centro-Oeste;Castelândia - GO;20/07/2010;
Centro-Oeste;Catalão - GO;13/08/2009;
Centro-Oeste;Ceres - GO;09/02/2009;03/12/2018
Centro-Oeste;Cezarina - GO;14/04/2009;23/12/2020
Centro-Oeste;Cezarina - GO;16/03/2023;
Centro-Oeste;Chapada dos Guimarães - MT;09/02/2009;03/12/2018
Centro-Oeste;Chapada dos Guimarães - MT;16/09/2022;
Centro-Oeste;Chapadão do Céu - GO;07/01/2009;
Centro-Oeste;Chapadão do Sul - MS;04/12/2008;
Centro-Oeste;Cláudia - MT;03/08/2012;
Centro-Oeste;Cocalinho - MT;11/11/2013;04/12/2020
Centro-Oeste;Cocalinho - MT;18/08/2021;
Centro-Oeste;Cocalzinho de Goiás - GO;04/11/2015;
Centro-Oeste;Colíder - MT;09/02/2009;
Centro-Oeste;Colniza - MT;13/08/2009;03/12/2018
Centro-Oeste;Colniza - MT;02/08/2019;
Centro-Oeste;Comodoro - MT;09/02/2009;
Centro-Oeste;Confresa - MT;07/07/2011;03/12/2018
Centro-Oeste;Confresa - MT;28/05/2019;
Centro-Oeste;Conquista d'Oeste - MT;07/01/2015;
Centro-Oeste;Corguinho - MS;19/05/2009;
Centro-Oeste;Coronel Sapucaia - MS;13/08/2009;
Centro-Oeste;Córrego do Ouro - GO;09/02/2009;04/12/2020
Centro-Oeste;Corumbá - MS;04/12/2008;
Centro-Oeste;Corumbá de Goiás - GO;13/08/2009;03/12/2018
Centro-Oeste;Corumbaíba - GO;09/02/2009;
Centro-Oeste;Costa Rica - MS;04/12/2008;
Centro-Oeste;Cotriguaçu - MT;11/11/2011;03/12/2018
Centro-Oeste;Cotriguaçu - MT;30/11/2021;
Centro-Oeste;Coxim - MS;09/02/2009;
Centro-Oeste;Cristalina - GO;09/02/2009;
Centro-Oeste;Cristianópolis - GO;10/12/2009;03/12/2018
Centro-Oeste;Crixás - GO;09/02/2009;
Centro-Oeste;Cromínia - GO;24/02/2010;03/12/2018
Centro-Oeste;Curvelândia - MT;24/03/2015;
Centro-Oeste;Denise - MT;14/05/2013;
Centro-Oeste;Deodápolis - MS;25/08/2010;
Centro-Oeste;Diamantino - MT;09/02/2009;
Centro-Oeste;Diorama - GO;09/02/2009;03/12/2018
Centro-Oeste;Diorama - GO;15/07/2020;
Centro-Oeste;Dois Irmãos do Buriti - MS;04/12/2008;
Centro-Oeste;Dom Aquino - MT;24/03/2015;03/12/2018
Centro-Oeste;Dom Aquino - MT;21/11/2019;
Centro-Oeste;Douradina - MS;09/02/2009;
Centro-Oeste;Dourados - MS;04/12/2008;
Centro-Oeste;Doverlândia - GO;09/02/2009;23/12/2020
Centro-Oeste;Doverlândia - GO;01/07/2021;
Centro-Oeste;Edealina - GO;14/10/2010;
Centro-Oeste;Edéia - GO;10/06/2014;23/12/2020
Centro-Oeste;Eldorado - MS;09/02/2009;
Centro-Oeste;Estrela do Norte - GO;28/05/2019;
Centro-Oeste;Faina - GO;09/02/2009;
Centro-Oeste;Fátima do Sul - MS;11/11/2013;03/12/2018
Centro-Oeste;Fátima do Sul - MS;02/08/2019;
Centro-Oeste;Fazenda Nova - GO;02/12/2015;
Centro-Oeste;Feliz Natal - MT;07/01/2009;
Centro-Oeste;Figueirão - MS;07/01/2009;
Centro-Oeste;Figueirópolis d'Oeste - MT;09/02/2009;03/12/2018
Centro-Oeste;Figueirópolis d'Oeste - MT;02/08/2019;
Centro-Oeste;Firminópolis - GO;04/08/2015;03/12/2018
Centro-Oeste;Firminópolis - GO;28/05/2019;
Centro-Oeste;Flores de Goiás - GO;09/02/2009;04/12/2020
Centro-Oeste;Flores de Goiás - GO;03/05/2022;
Centro-Oeste;Formosa - GO;20/12/2010;
Centro-Oeste;Formoso - GO;05/03/2009;04/12/2020
Centro-Oeste;Gameleira de Goiás - GO;06/08/2013;03/12/2018
Centro-Oeste;Gameleira de Goiás - GO;28/01/2020;
Centro-Oeste;Gaúcha do Norte - MT;07/07/2011;03/12/2018
Centro-Oeste;Gaúcha do Norte - MT;28/05/2019;
Centro-Oeste;General Carneiro - MT;22/04/2013;
Centro-Oeste;Glória de Dourados - MS;09/02/2009;
Centro-Oeste;Glória d'Oeste - MT;10/12/2009;03/12/2018
Centro-Oeste;Glória d'Oeste - MT;02/08/2019;
Centro-Oeste;Goiandira - GO;07/01/2009;03/12/2018
Centro-Oeste;Goianésia - GO;09/02/2009;
Centro-Oeste;Goiânia - GO;09/02/2009;03/12/2018
Centro-Oeste;Goiânia - GO;02/08/2019;
Centro-Oeste;Goianira - GO;09/02/2009;03/12/2018
Centro-Oeste;Goiás - GO;09/02/2009;03/12/2018
Centro-Oeste;Goiás - GO;24/10/2019;
Centro-Oeste;Goiatuba - GO;09/02/2009;
Centro-Oeste;Gouvelândia - GO;14/04/2009;23/12/2020
Centro-Oeste;Gouvelândia - GO;29/01/2021;
Centro-Oeste;Guapó - GO;18/08/2021;
Centro-Oeste;Guarani de Goiás - GO;27/02/2023;
Centro-Oeste;Guarantã do Norte - MT;14/10/2009;
Centro-Oeste;Guarinos - GO;05/03/2009;03/12/2018
Centro-Oeste;Guarinos - GO;10/09/2020;
Centro-Oeste;Guia Lopes da Laguna - MS;04/12/2008;
Centro-Oeste;Guiratinga - MT;05/11/2014;
Centro-Oeste;Heitoraí - GO;11/11/2009;03/12/2018
Centro-Oeste;Hidrolândia - GO;09/02/2009;
Centro-Oeste;Hidrolina - GO;13/08/2009;04/12/2020
Centro-Oeste;Hidrolina - GO;09/09/2021;
Centro-Oeste;Iaciara - GO;08/04/2010;03/12/2018
Centro-Oeste;Iaciara - GO;28/01/2020;
Centro-Oeste;Iguatemi - MS;09/02/2009;
Centro-Oeste;Inaciolândia - GO;07/01/2009;
Centro-Oeste;Indiara - GO;09/02/2009;
Centro-Oeste;Indiavaí - MT;08/10/2013;
Centro-Oeste;Inhumas - GO;09/02/2009;03/12/2018
Centro-Oeste;Inhumas - GO;28/01/2020;
Centro-Oeste;Inocência - MS;07/01/2009;
Centro-Oeste;Ipameri - GO;09/02/2009;
Centro-Oeste;Ipiranga de Goiás - GO;07/07/2022;
Centro-Oeste;Ipiranga do Norte - MT;12/09/2013;03/12/2018
Centro-Oeste;Ipiranga do Norte - MT;02/10/2020;
Centro-Oeste;Iporá - GO;06/08/2013;
Centro-Oeste;Itaberaí - GO;09/02/2009;
Centro-Oeste;Itaguari - GO;12/09/2013;03/12/2018
Centro-Oeste;Itaguaru - GO;09/02/2009;03/12/2018
Centro-Oeste;Itaguaru - GO;27/02/2023;
Centro-Oeste;Itajá - GO;07/07/2009;
Centro-Oeste;Itanhangá - MT;09/02/2009;
Centro-Oeste;Itapaci - GO;09/02/2009;04/12/2020
Centro-Oeste;Itapirapuã - GO;25/01/2010;03/12/2018
Centro-Oeste;Itapirapuã - GO;24/10/2019;
Centro-Oeste;Itaporã - MS;04/12/2008;
Centro-Oeste;Itapuranga - GO;05/03/2009;03/12/2018
Centro-Oeste;Itapuranga - GO;24/10/2019;
Centro-Oeste;Itaquiraí - MS;04/12/2008;
